,Market Crash (-30%),Severe Crash (-50%),Moderate Drawdown (-15%),Bull Shock (+20%),Volatility Spike
2021-07-09,-0.29391286548710266,-0.49391286548710267,-0.14391286548710266,0.20608713451289734,0.015217836282243324
2021-07-12,-0.2887587896304368,-0.4887587896304368,-0.13875878963043678,0.21124121036956323,0.028103025923908037
2021-07-13,-0.3001602356124977,-0.5001602356124977,-0.15016023561249772,0.19983976438750228,-0.00040058903124431944
2021-07-14,-0.29620620974475936,-0.4962062097447594,-0.14620620974475937,0.20379379025524064,0.009484475638101564
2021-07-15,-0.30504102355969864,-0.5050410235596987,-0.15504102355969865,0.19495897644030136,-0.012602558899246635
2021-07-16,-0.30511678683793286,-0.5051167868379329,-0.15511678683793287,0.19488321316206714,-0.012791967094832185
2021-07-19,-0.3141967901649064,-0.5141967901649064,-0.1641967901649064,0.1858032098350936,-0.03549197541226602
2021-07-20,-0.28232398940666387,-0.4823239894066639,-0.13232398940666387,0.21767601059333613,0.044190026483340306
2021-07-21,-0.2985346549715588,-0.4985346549715588,-0.1485346549715588,0.2014653450284412,0.0036633625711030016
2021-07-22,-0.2943097567440055,-0.49430975674400557,-0.14430975674400554,0.20569024325599447,0.014225608139986148
2021-07-23,-0.28776844443532934,-0.4877684444353294,-0.13776844443532937,0.21223155556467063,0.030578888911676552
2021-07-26,-0.2909611375878692,-0.4909611375878692,-0.14096113758786918,0.20903886241213082,0.022597156030327026
2021-07-27,-0.3158759772804721,-0.5158759772804721,-0.1658759772804721,0.1841240227195279,-0.03968994320118026
2021-07-28,-0.3032335996507516,-0.5032335996507515,-0.1532335996507516,0.19676640034924842,-0.008083999126878988
2021-07-29,-0.2865905079330509,-0.4865905079330509,-0.13659050793305091,0.2134094920669491,0.0335237301673727
2021-07-30,-0.2997903696427455,-0.4997903696427455,-0.1497903696427455,0.2002096303572545,0.0005240758931362305
2021-08-02,-0.2910664628967097,-0.49106646289670963,-0.14106646289670965,0.20893353710329035,0.02233384275822585
2021-08-03,-0.2942613269302624,-0.4942613269302624,-0.14426132693026242,0.2057386730697376,0.014346682674343941
2021-08-04,-0.3012724456108534,-0.5012724456108534,-0.1512724456108534,0.1987275543891466,-0.0031811140271335164
2021-08-05,-0.29420644015950587,-0.4942064401595059,-0.14420644015950587,0.20579355984049413,0.014483899601235306
2021-08-06,-0.3065013209088623,-0.5065013209088624,-0.15650132090886232,0.1934986790911377,-0.01625330227215581
2021-08-09,-0.2940566490667976,-0.4940566490667976,-0.1440566490667976,0.2059433509332024,0.014858377333005976
2021-08-10,-0.30362654853775956,-0.5036265485377596,-0.15362654853775956,0.19637345146224044,-0.009066371344398916
2021-08-11,-0.3006093713587826,-0.5006093713587826,-0.15060937135878258,0.19939062864121743,-0.001523428396956461
2021-08-12,-0.2859473940250127,-0.4859473940250127,-0.13594739402501269,0.21405260597498732,0.03513151493746827
2021-08-13,-0.2987534847247598,-0.4987534847247598,-0.1487534847247598,0.2012465152752402,0.0031162881881004884
2021-08-16,-0.30500422448733033,-0.5050042244873304,-0.15500422448733037,0.19499577551266964,-0.01251056121832593
2021-08-17,-0.3131902146529073,-0.5131902146529073,-0.16319021465290728,0.18680978534709272,-0.032975536632268224
2021-08-18,-0.3004925405596195,-0.5004925405596194,-0.15049254055961947,0.19950745944038054,-0.0012313513990486885
2021-08-19,-0.29922822462875664,-0.4992282246287567,-0.14922822462875668,0.20077177537124333,0.0019294384281082905
2021-08-20,-0.28576447604281024,-0.48576447604281026,-0.13576447604281025,0.21423552395718976,0.03558880989297436
2021-08-23,-0.28281947482906034,-0.48281947482906035,-0.13281947482906034,0.21718052517093966,0.04295131292734913
2021-08-24,-0.2987394797556896,-0.49873947975568955,-0.14873947975568957,0.20126052024431043,0.0031513006107760505
2021-08-25,-0.30068469294884675,-0.5006846929488468,-0.15068469294884676,0.19931530705115325,-0.0017117323721169142
2021-08-26,-0.3087744602492737,-0.5087744602492736,-0.1587744602492737,0.19122553975072631,-0.021936150623184242
2021-08-27,-0.2895707124850948,-0.4895707124850948,-0.1395707124850948,0.2104292875149052,0.02607321878726296
2021-08-30,-0.2809097085196285,-0.4809097085196285,-0.1309097085196285,0.2190902914803715,0.047725728700928755
2021-08-31,-0.30188211282068267,-0.5018821128206827,-0.1518821128206827,0.1981178871793173,-0.004705282051706769
2021-09-01,-0.29882260479918055,-0.4988226047991805,-0.14882260479918052,0.20117739520081948,0.0029434880020486748
2021-09-02,-0.3020554303256406,-0.5020554303256406,-0.1520554303256406,0.19794456967435942,-0.005138575814101487
2021-09-03,-0.2975840989572366,-0.4975840989572366,-0.1475840989572366,0.2024159010427634,0.006039752606908505
2021-09-07,-0.2890454097971138,-0.48904540979711386,-0.13904540979711383,0.21095459020288618,0.027386475507215416
2021-09-08,-0.30327230549675216,-0.5032723054967522,-0.15327230549675216,0.19672769450324784,-0.008180763741880426
2021-09-09,-0.3037610482917211,-0.5037610482917212,-0.15376104829172113,0.19623895170827887,-0.00940262072930284
2021-09-10,-0.3208900001545654,-0.5208900001545654,-0.17089000015456543,0.17910999984543458,-0.05222500038641359
2021-09-13,-0.2929395263989035,-0.49293952639890354,-0.14293952639890353,0.20706047360109647,0.017651184002741155
2021-09-14,-0.2996349961881103,-0.4996349961881103,-0.1496349961881103,0.2003650038118897,0.0009125095297242425
2021-09-15,-0.2873236326106966,-0.4873236326106966,-0.1373236326106966,0.2126763673893034,0.03169091847325847
2021-09-16,-0.3011239643463358,-0.5011239643463359,-0.15112396434633585,0.19887603565366416,-0.002809910865839635
2021-09-17,-0.31318264951735403,-0.513182649517354,-0.16318264951735403,0.18681735048264597,-0.0329566237933851
2021-09-20,-0.3239586344380596,-0.5239586344380596,-0.1739586344380596,0.17604136556194042,-0.05989658609514899
2021-09-21,-0.2944328680235688,-0.4944328680235688,-0.14443286802356878,0.20556713197643123,0.013917829941078042
2021-09-22,-0.2860165506723645,-0.4860165506723645,-0.13601655067236448,0.21398344932763552,0.03495862331908878
2021-09-23,-0.2953593259266641,-0.4953593259266641,-0.1453593259266641,0.20464067407333592,0.01160168518333976
2021-09-24,-0.29171709379853233,-0.49171709379853235,-0.14171709379853234,0.20828290620146767,0.020707265503669137
2021-09-27,-0.30346912574164464,-0.5034691257416446,-0.15346912574164465,0.19653087425835536,-0.00867281435411163
2021-09-28,-0.32875464593338655,-0.5287546459333865,-0.17875464593338655,0.17124535406661345,-0.0718866148334664
2021-09-29,-0.2998031970199351,-0.49980319701993503,-0.14980319701993505,0.20019680298006495,0.0004920074501623545
2021-09-30,-0.3083577402938137,-0.5083577402938138,-0.15835774029381372,0.19164225970618629,-0.020894350734534314
